project_district,project_type,budget_amount,estimated_cost,actual_cost
2,DOE- RESOA,455577,455577,0
2,DIIT - Project Conne,DIIT,14972,0
2,SCA CIP RESOA,0,0,0
2,SCA CIP RESOA,6000,6000,0
2,SCA CIP RESOA,88000,88000,0
2,SCA CIP RESOA,6000,6000,0
2,DIIT - Project Conne,DIIT,31644,0
2,SCA IEH,IEH,762,762
2,SCA IEH,IEH,26529,1530
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,12000,12000,0
3,SCA CIP RESOA,176000,176000,0
3,SCA CIP RESOA,12000,12000,0
3,SCA CIP RESOA,0,102,102
3,SCA CIP RESOA,24000,23898,410
3,SCA CIP RESOA,352000,352000,0
3,SCA CIP RESOA,24000,24000,1089
3,SCA IEH,IEH,1956,1456
3,SCA IEH,IEH,34409,3922
3,DIIT - Project Conne,DIIT,126948,0
3,DIIT - Project Conne,DIIT,126948,0
3,SCA CIP RESOA,0,251,251
3,SCA CIP RESOA,12793,7849,1003
3,SCA CIP RESOA,187631,118800,0
3,SCA CIP RESOA,12793,8100,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,4800,4800,0
3,SCA CIP RESOA,70400,70400,0
3,SCA CIP RESOA,4800,4800,0
3,SCA IEH,IEH,14020,1846
3,SCA CIP,26490,48680,39668
3,SCA CIP,97130,92328,67276
3,SCA CIP,1028695,1429405,1040361
3,SCA CIP,238410,271713,253211
3,DIIT - Project Conne,DIIT,301650,0
3,SCA CIP,110989,75354,75354
3,SCA CIP,436623,467318,445008
3,SCA CIP,7528581,7348197,6373029
3,SCA CIP,613272,645902,629266
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,12000,12000,0
3,SCA CIP RESOA,176000,176000,0
3,SCA CIP RESOA,12000,12000,0
3,Fast Track Projects,FTK,856639,338489
3,DCAS/NYPA,96329,96329,96329
3,SCA CIP RESOA,0,12434,12434
3,SCA CIP RESOA,18169,8337,2472
3,SCA CIP RESOA,266472,256463,181106
3,SCA CIP RESOA,18169,28375,10797
3,SCA IEH,IEH,15329,2644
3,SCA CIP,39525,43607,43607
3,SCA CIP,158100,153974,118692
3,SCA CIP,2964375,2724400,23468
3,SCA CIP,184450,88383,87920
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,4500,4500,0
3,SCA CIP RESOA,66000,66000,0
3,SCA CIP RESOA,4500,4500,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,45000,45000,0
3,SCA CIP RESOA,660000,660000,0
3,SCA CIP RESOA,45000,45000,0
3,SCA CIP RESOA,0,97351,79730
3,SCA CIP RESOA,150375,121558,89874
3,SCA CIP RESOA,2205500,2057027,27977
3,SCA CIP RESOA,150375,37834,37625
3,SCA IEH,IEH,79916,2684
3,DIIT - RESOA,100000,99249,99249
3,DIIT - RESOA,35000,34738,34738
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,3900,25334,0
3,SCA CIP RESOA,57200,371569,0
3,SCA CIP RESOA,50259,46359,0
3,SCA IEH,IEH,2467,2467
3,DOE - Skilled Trades,DOES,4150,1150
3,DOE - Skilled Trades,DOES,162719,162719
3,DOE - Skilled Trades,DOES,84706,84706
3,SCA CIP,19125,33195,33195
3,SCA CIP,76500,127083,69045
3,SCA CIP,1434375,1338281,171240
3,SCA CIP,96697,66363,58065
3,SCA CIP,6832,125,125
3,SCA CIP,25050,500,500
3,SCA CIP,265301,265301,7687
3,SCA CIP,61486,61486,3898
3,SCA CIP,7774,2580,2580
3,SCA CIP,28505,28505,10318
3,SCA CIP,301896,301896,188
3,SCA CIP,117602,117602,2680
10,SCA CIP,45091,38906,38906
10,SCA CIP,171681,177798,170021
10,SCA CIP,2439972,2230892,2020506
10,SCA CIP,323266,157415,156652
10,SCA IEH,IEH,990,490
10,DOE - Skilled Trades,DOES,170000,1676
10,SCA IEH,IEH,10926,3220
10,SCA IEH,IEH,16181,5678
10,DIIT - RESOA,100000,99250,99250
10,DIIT - RESOA,35000,34733,34733
10,SCA CIP,176871,231443,225438
10,SCA CIP,704052,672338,553042
10,SCA CIP,12892738,11760993,4315187
10,SCA CIP,870048,399418,390856
10,SCA CIP RESOA,0,0,0
10,SCA CIP RESOA,18600,18600,0
10,SCA CIP RESOA,272800,272800,0
10,SCA CIP RESOA,18600,18600,0
10,DIIT - Project Conne,DIIT,,0
10,SCA IEH,IEH,191148,11474
10,DIIT - Project Conne,DIIT,30175,0
11,SCA CIP,85074,138743,130662
11,SCA CIP,330363,221740,216475
11,SCA CIP,5303013,5303013,56893
11,SCA CIP,526112,526112,30858
11,SCA Capacity,1271925,1022443,1011766
11,SCA CIP,1127323,1127323,0
11,SCA Capacity,4070160,4071495,1758457
11,SCA Capacity,57083994,51637412,1561890
11,SCA Capacity,8038566,2949638,409902
11,DIIT - RESOA,50000,49623,49623
11,SCA IEH,IEH,1066,566
11,DIIT - RESOA,69000,68482,68482
11,SCA CIP,82260,77462,77462
11,SCA CIP,329040,426832,333167
11,SCA CIP,6169500,5727458,1100202
11,SCA CIP,383880,133430,132439
11,SCA IEH,IEH,2182,1682
11,SCA IEH,IEH,174406,6204
11,DOE- RESOA,35000,327763,327763
11,DOE - Skilled Trades,DOES,114691,114691
11,SCA CIP,46427,70123,69834
11,SCA CIP,177024,234719,231639
11,SCA CIP,2540098,2349150,228840
11,SCA CIP,329507,130808,130105
11,SCA IEH,IEH,53899,3290
11,DOE - Skilled Trades,DOES,170000,1527
11,SCA IEH,IEH,67538,920
11,DOE - Lead Paint,DOEL,31557,31557
11,DIIT - RESOA,100000,99249,99249
11,DOE - Skilled Trades,DOES,85661,85661
11,SCA CIP,78670,20471,20470
11,SCA CIP,302884,302884,51881
11,SCA CIP,4620418,4620418,8458
11,SCA CIP,520470,520470,4018
11,SCA CIP,29030,29030,0
11,SCA CIP,261268,261268,0
11,DOE- RESOA,725000,725000,228312
11,SCA Capacity,1679805,749880,744637
11,SCA Capacity,5375375,5375375,610509
11,SCA Capacity,75389632,75389632,49543
11,SCA Capacity,10616365,10616365,191195
11,SCA Capacity,25000,256,256
11,SCA Capacity,80000,80000,1025
11,SCA Capacity,1122000,1122000,0
11,SCA Capacity,158000,158000,2256
11,SCA CIP,10872,4576,4576
11,SCA CIP,39864,18367,18303
11,SCA CIP,422195,390528,2868
11,SCA CIP,97848,80711,25242
11,SCA IEH,IEH,21096,6752
11,SCA CIP,90085,72189,11289
11,SCA CIP,360338,360338,45158
11,SCA CIP,6756343,6756343,0
11,SCA CIP,420395,420395,2740
11,SCA IEH,IEH,60560,2934
11,SCA IEH,IEH,43579,1410
11,SCA CIP,63420,88625,88625
11,SCA CIP,253680,299804,241773
11,SCA CIP,4756500,4356509,958979
11,SCA CIP,295960,180460,178438
11,SCA IEH,IEH,1546,1046
11,Trust For Public Lan,60000,60000,0
11,Trust For Public Lan,180000,180000,0
11,Trust For Public Lan,600000,600000,0
11,Trust For Public Lan,162000,162000,0
11,DIIT - RESOA,200000,198499,198499
11,DIIT - RESOA,100000,99246,99246
11,SCA CIP RESOA,0,25492,25492
11,SCA CIP RESOA,51779,102768,102031
11,SCA CIP RESOA,759424,778178,315327
11,SCA CIP RESOA,51779,99978,99241
11,SCA CIP RESOA,0,13535,13535
11,SCA CIP RESOA,20280,34146,21791
11,SCA CIP RESOA,297440,297440,669
11,SCA CIP RESOA,20280,20280,5460
11,DOE- RESOA,285000,68884,68884
