project_district,project_type,budget_amount,estimated_cost,actual_cost
7,SCA CIP,445260,141035,137932
7,SCA CIP,8348625,7463503,316655
7,SCA CIP,519470,55060,55060
7,SCA CIP,173057,77026,77026
7,SCA CIP,692230,377119,376708
7,SCA CIP,12979301,12979301,96445
7,SCA CIP,807601,807601,47916
7,SCA CIP RESOA,0,13127,2199
7,SCA CIP RESOA,38618,34596,21281
7,SCA CIP RESOA,566390,523302,309170
7,SCA CIP RESOA,38618,53402,52302
7,SCA CIP RESOA,0,0,0
7,SCA CIP RESOA,19500,19500,0
7,SCA CIP RESOA,286000,286000,0
7,SCA CIP RESOA,19500,19500,0
7,SCA CIP RESOA,0,68,68
7,SCA CIP RESOA,22200,22132,273
7,SCA CIP RESOA,325600,325600,0
7,SCA CIP RESOA,22200,22200,0
7,SCA CIP,54870,180313,180045
7,SCA CIP,219480,207324,152421
7,SCA CIP,4115251,3689163,31163
7,SCA CIP,256060,65382,65382
7,SCA IEH,IEH,31802,5618
7,SCA IEH,IEH,25473,1730
7,DOE - Lead Paint,DOEL,66671,66671
7,DOE- RESOA,210000,192311,192311
8,SCA Capacity,1271250,1555068,1543273
8,SCA Capacity,4068000,3447014,2016508
8,SCA Capacity,57053700,52396970,24835651
8,SCA Capacity,8034300,4293131,1716796
8,SCA CIP,206130,271348,261613
8,SCA CIP,815530,737973,695863
8,SCA CIP,14484336,13593023,12359317
8,SCA CIP,1078813,1789017,1778044
8,SCA CIP,103500,130410,94610
8,SCA CIP,414000,394485,335414
8,SCA CIP,7762500,7113532,301653
8,SCA CIP,483000,42934,41187
8,SCA IEH,IEH,17460,6362
8,DOE - Lead Paint,DOEL,16991,16991
8,SCA CIP,10110,922,922
8,SCA CIP,37070,37070,3687
8,SCA CIP,392605,392605,0
8,SCA CIP,90990,90990,1231
8,SCA CIP RESOA,0,29835,29835
8,SCA CIP RESOA,30000,119399,119399
8,SCA CIP RESOA,440000,440000,14484
8,SCA CIP RESOA,30000,30000,25757
8,SCA IEH,IEH,1838,1838
8,SCA IEH,IEH,122588,5512
8,SCA IEH,IEH,106591,2046
8,SCA IEH,IEH,15679,3288
8,SCA CIP,136500,110518,108744
8,SCA CIP,546000,413243,390300
8,SCA CIP,10237500,9755285,8487880
8,SCA CIP,688287,571067,560743
8,SCA CIP,26310,0,0
8,SCA CIP,96471,0,0
8,SCA CIP,1021720,1021720,0
8,SCA CIP,236794,236794,7661
8,SCA CIP RESOA,0,1174,1174
8,SCA CIP RESOA,12000,14107,2958
8,SCA CIP RESOA,176000,224143,0
8,SCA CIP RESOA,12000,15282,0
8,SCA CIP RESOA,0,0,0
8,SCA CIP RESOA,30000,30000,0
8,SCA CIP RESOA,440000,440000,0
8,SCA CIP RESOA,30000,30000,0
8,SCA CIP RESOA,0,0,0
8,SCA CIP RESOA,9000,9000,0
8,SCA CIP RESOA,132000,132000,0
8,SCA CIP RESOA,9000,9000,0
8,SCA IEH,IEH,14855,2292
8,DIIT - Project Conne,DIIT,,0
8,SCA CIP,122130,75957,75957
8,SCA CIP,488520,42050,42050
8,SCA CIP,9159750,8393994,934567
8,SCA CIP,569940,62403,61807
8,SCA IEH,IEH,18347,3434
8,DOE - Skilled Trades,DOES,149109,149109
8,DOE - Skilled Trades,DOES,170000,1688
8,SCA IEH,IEH,59277,5888
8,SCA IEH,IEH,76977,2324
8,SCA IEH,IEH,61127,2824
8,DIIT - RESOA,50000,49104,49104
8,DIIT - RESOA,150000,148875,148875
8,DOE- RESOA,170203,170203,0
8,SCA CIP RESOA,0,8472,8472
8,SCA CIP RESOA,42000,78769,33889
8,SCA CIP RESOA,616000,1279539,15643
8,SCA CIP RESOA,42000,87241,9613
8,DIIT - RESOA,50000,49625,49625
8,DIIT - RESOA,100000,99178,99178
8,DOE - Skilled Trades,DOES,170000,2941
8,DIIT - PBX Telephone,DIIX,245791,245791
8,DIIT - RESOA,50000,49625,49625
13,SCA Lease Site Impro,36824521,36824521,19999
13,SCA Lease Site Impro,5185628,5185628,40653
13,SCA CIP RESOA,0,14085,14085
13,SCA CIP RESOA,53400,56404,51006
13,SCA CIP RESOA,783200,593996,239137
13,SCA CIP RESOA,122737,123464,26700
13,DIIT - RESOA,300000,297748,297748
13,SCA CIP,611811,360431,360431
13,SCA CIP,2447245,2447245,580072
13,SCA CIP,45885835,45885835,9349
13,SCA CIP,2855119,2855119,8145
13,SCA CIP,35892,99843,93271
13,SCA CIP,137122,133938,122107
13,SCA CIP,1992293,1831867,545761
13,SCA CIP,251327,157214,157064
13,DIIT - Project Conne,DIIT,343538,0
13,SCA CIP,538515,855781,849229
13,SCA CIP,2132964,2688073,2136348
13,SCA CIP,38100356,42251524,36412074
13,SCA CIP,2999156,3405536,3179136
13,DIIT - Project Conne,DIIT,127474,0
13,DIIT - Project Conne,DIIT,127474,0
13,SCA CIP RESOA,0,0,0
13,SCA CIP RESOA,12300,12300,0
13,SCA CIP RESOA,180400,180400,0
13,SCA CIP RESOA,12300,12300,0
13,SCA CIP RESOA,0,0,0
13,SCA CIP RESOA,4500,4500,0
13,SCA CIP RESOA,66000,66000,0
13,SCA CIP RESOA,4500,4500,0
13,SCA Furniture & Equi,200000,200000,200000
14,SCA CIP,29913,29913,0
14,SCA CIP,109683,109683,0
14,SCA CIP,1161639,1161639,0
14,SCA CIP,269221,269221,0
14,SCA CIP,108743,56595,56595
14,SCA CIP,427346,317378,308159
14,SCA CIP,7328529,7328529,50559
14,SCA CIP RESOA,9000,9000,0
14,SCA CIP,606572,606572,20568
14,SCA IEH,IEH,69240,7763
14,SCA IEH,IEH,39044,4890
14,Fast Track Projects,FTK,423528,181910
14,DIIT - RESOA,50000,49625,49625
14,DIIT - PBX Telephone,DIIX,134816,134816
14,DOE- RESOA,300000,300388,300388
14,Fast Track Projects,FTK,329016,308294
14,SCA IEH,IEH,10175,1325
14,SCA IEH,IEH,123424,6510
14,DOE - Skilled Trades,DOES,39262,39262
14,SCA CIP,67498,99096,79476
14,SCA CIP,263789,226003,194999
14,SCA CIP,4388969,4162061,3672755
14,SCA CIP,395682,765939,756014
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,13080,13080,0
14,SCA CIP RESOA,191840,191840,0
14,SCA CIP RESOA,13080,13080,0
14,DOE - Lead Paint,DOEL,500,0
14,DOE- RESOA,295000,295000,149901
14,DOE - Skilled Trades,DOES,179671,179671
14,SCA CIP,23533,18210,18210
14,SCA CIP,92432,146128,125685
14,SCA CIP,1580668,2125840,2072010
14,SCA CIP,131898,410290,409756
14,SCA IEH,IEH,26453,1438
14,SCA IEH,IEH,63732,5868
14,Fast Track Projects,FTK,204091,123173
14,DCAS/NYPA,78705,78705,78705
14,SCA CIP,78063,74593,74240
14,SCA CIP,304688,238147,236684
14,SCA CIP,5034246,4738832,2733192
14,SCA CIP,462592,368749,367286
14,SCA Furniture & Equi,120000,120000,119790
14,DOE - Lead Paint,DOEL,521,521
14,DOE- RESOA,130000,59876,59876
14,SCA CIP,177060,259395,259395
14,SCA CIP,619710,712488,654738
14,SCA CIP,10048156,11103623,9919027
14,SCA CIP,708240,1904756,1867302
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,9000,9000,0
14,SCA CIP RESOA,132000,132000,0
14,SCA CIP RESOA,9000,9000,0
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,9000,9000,0
14,SCA CIP RESOA,132000,132000,0
14,SCA CIP RESOA,9000,9000,0
14,SCA CIP RESOA,0,14216,14216
14,SCA CIP RESOA,18000,46376,26074
14,SCA CIP RESOA,264000,264000,6349
14,SCA CIP RESOA,18000,18000,3761
14,SCA IEH,IEH,47911,3422
14,SCA IEH,IEH,18690,3168
14,SCA IEH,IEH,11448,348
14,Fast Track Projects,FTK,1142752,152289
14,DOE- RESOA,500000,63780,63780
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,132000,132000,0
14,SCA CIP RESOA,9000,9000,0
14,SCA IEH,IEH,9628,654
14,DIIT - RESOA,100000,99250,99250
14,DIIT - RESOA,70000,69474,69474
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,6000,6000,0
14,SCA CIP RESOA,88000,88000,0
14,SCA CIP RESOA,6000,6000,0
14,SCA IEH,IEH,156834,101469
14,SCA IEH,IEH,7410,310
14,SCA IEH,IEH,142044,3220
14,SCA IEH,IEH,63762,2876
14,Fast Track Projects,FTK,648032,290761
14,DIIT - RESOA,100000,99236,99236
14,DOE - Skilled Trades,DOES,250000,109418
14,Trust For Public Lan,10000,10000,0
14,Trust For Public Lan,40000,40000,0
14,Trust For Public Lan,120000,120000,0
14,Trust For Public Lan,30000,30000,0
14,SCA CIP RESOA,0,0,0
8,DIIT - RESOA,100000,99250,99250
8,DOE - Lead Paint,DOEL,800,0
8,DOE - Skilled Trades,DOES,72938,72938
8,SCA CIP,11970,53203,53203
8,SCA CIP,43890,53369,53369
8,SCA CIP,464835,437760,307355
8,SCA CIP,107730,73972,57673
8,SCA IEH,IEH,118985,5764
8,SCA IEH,IEH,1420,920
8,DIIT - RESOA,50000,49375,49375
8,DIIT - RESOA,60000,59550,59550
8,DOE - Skilled Trades,DOES,180756,180756
8,SCA CIP,17340,17340,0
8,SCA CIP,69359,69359,0
8,SCA CIP,1300482,1300482,0
8,SCA CIP,80919,80919,0
8,DIIT - Project Conne,DIIT,374957,374957
8,DOE - Skilled Trades,DOES,10550,10550
8,SCA IEH,IEH,78305,8714
8,DIIT - RESOA,90000,89304,89304
8,SCA CIP,119572,89092,81662
8,SCA CIP,478288,478288,210974
8,SCA CIP,8967901,8967901,12778
8,SCA CIP,558002,558002,23976
8,SCA IEH,IEH,79406,3640
8,SCA IEH,IEH,52000,8230
8,SCA IEH,IEH,14687,4948
8,SCA IEH,IEH,1240,740
8,DIIT - RESOA,100000,99249,99249
8,DOE - Skilled Trades,DOES,170000,995
8,SCA IEH,IEH,15801,3108
8,SCA CIP,29250,30276,30276
8,SCA CIP,117000,123720,123599
8,SCA CIP,2193750,2052779,1865485
8,SCA CIP,187523,135871,87457
8,DOE- RESOA,60000,16716,16716
8,DOE - Skilled Trades,DOES,183975,116830
8,SCA CIP,24403,39787,39783
8,SCA CIP,97613,67371,58698
8,SCA CIP,1830247,1830247,28302
8,SCA CIP,113882,113882,19963
8,SCA CIP RESOA,0,872,872
8,SCA CIP RESOA,42899,3489,3489
8,SCA CIP RESOA,629179,629179,3567
8,SCA CIP RESOA,42899,42899,4172
8,RCT CIP,FTK,1459211,1312758
8,SCA IEH,IEH,85818,3254
8,SCA IEH,IEH,76036,1236
8,SCA IEH,IEH,55535,45535
8,SCA IEH,IEH,28556,15256
8,SCA IEH,IEH,14508,2890
8,Fast Track Projects,FTK,145119,68832
8,DOE - Skilled Trades,DOES,127000,42479
8,DOE - Skilled Trades,DOES,1541452,1541452
8,SCA CIP,25400,25400,0
8,SCA CIP,93133,93133,0
8,SCA CIP,986361,986361,0
8,SCA CIP,228599,228599,0
8,SCA CIP,56655,71415,65195
8,SCA CIP,226620,181441,181435
8,SCA CIP,4249125,3912707,130407
8,SCA CIP,264390,92873,92873
8,SCA IEH,IEH,158252,8750
8,SCA IEH,IEH,2372,1872
8,SCA CIP,14100,63727,63016
8,SCA CIP,51700,61385,54451
8,SCA CIP,547550,726568,500550
8,SCA CIP,126900,111039,102930
8,SCA CIP,130549,130549,0
8,SCA CIP,522200,522200,4
8,SCA CIP,9791249,9791249,0
8,SCA CIP,609233,609233,0
8,SCA CIP RESOA,0,0,0
8,SCA CIP RESOA,6000,6000,0
8,SCA CIP RESOA,88000,88000,0
8,SCA CIP RESOA,6000,6000,0
8,SCA CIP,50217,50217,0
8,SCA CIP,200868,200868,0
8,SCA CIP,3766270,3766270,0
8,SCA CIP,234346,234346,0
8,SCA CIP RESOA,0,1164,1164
8,SCA CIP RESOA,2100,4655,4655
8,SCA CIP RESOA,30800,30800,4666
8,SCA CIP RESOA,2100,4396,4396
8,SCA IEH,IEH,52769,4286
8,SCA IEH,IEH,40309,2052
8,SCA IEH,IEH,44473,4950
8,SCA Furniture & Equi,100000,100000,0
8,DOE - Skilled Trades,DOES,233035,83370
8,DOE - Skilled Trades,DOES,170000,147277
8,Trust For Public Lan,50000,50000,50000
8,Trust For Public Lan,150000,150000,150000
8,Trust For Public Lan,1875000,1875000,1800000
8,Trust For Public Lan,134000,134000,134000
8,SCA Capacity,987879,832473,831794
8,SCA Capacity,3704545,3642404,3183730
8,SCA Capacity,55568179,53022522,51243923
8,SCA Capacity,7262121,6909176,6121006
8,DOE- RESOA,70000,61223,0
8,DOE - Skilled Trades,DOES,201082,201082
8,SCA CIP,15345,18978,18766
8,SCA CIP,56266,89999,89610
8,SCA CIP,595909,595909,2636
8,SCA CIP,138108,138108,1855
8,SCA CIP,455868,272457,272417
8,SCA CIP,1816788,1326362,1260700
8,SCA CIP,33465101,31860165,28713413
8,SCA CIP,2214241,1741777,1717859
8,SCA CIP,9760,15221,2453
8,SCA CIP,35786,35786,9818
8,SCA CIP,379002,379002,4347
8,SCA CIP,87837,87837,7602
8,SCA CIP,13810,3941,3941
8,SCA CIP,50635,50635,14766
8,SCA CIP,536269,536269,0
8,SCA CIP,209247,209247,2387
8,SCA CIP RESOA,0,13346,13346
8,SCA CIP RESOA,53160,41433,5580
8,SCA CIP RESOA,779680,779680,69
8,SCA CIP RESOA,53160,53160,5387
8,SCA IEH,IEH,40901,2646
8,Fast Track Projects,FTK,221510,155772
8,DOE - Skilled Trades,DOES,114959,103829
8,SCA CIP,21449,30581,28049
14,SCA CIP RESOA,10500,10500,0
14,SCA CIP RESOA,154000,154000,0
14,SCA CIP RESOA,10500,10500,0
14,DIIT - RESOA,100000,99244,99244
14,DOE - Lead Paint,DOEL,610,610
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,21000,21000,0
14,SCA CIP RESOA,308000,308000,0
14,SCA CIP RESOA,21000,21000,0
14,SCA IEH,IEH,28165,3836
14,SCA IEH,IEH,828,828
14,SCA CIP RESOA,0,856,856
14,SCA CIP RESOA,24000,23144,3422
14,SCA CIP RESOA,352000,352000,0
14,SCA CIP RESOA,24000,24000,503
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,22500,22500,0
14,SCA CIP RESOA,330000,330000,0
14,SCA CIP RESOA,22500,22500,0
14,DIIT - Project Conne,DIIT,415715,0
14,SCA CIP,41135,41135,0
14,SCA CIP,164538,164538,0
14,SCA CIP,3085089,3085089,0
14,SCA CIP,191961,191961,0
14,SCA CIP RESOA,0,25433,25433
14,SCA CIP RESOA,2984,345375,5483
14,SCA CIP RESOA,43762,5438519,22739
14,SCA CIP RESOA,2984,370808,4537
14,SCA CIP RESOA,0,12949,2143
14,SCA CIP RESOA,34500,40146,8570
14,SCA CIP RESOA,506000,506000,1300
14,SCA CIP RESOA,34500,34500,3219
14,SCA IEH,IEH,273005,9162
14,DIIT - RESOA,100000,99248,99248
14,DOE - Lead Paint,DOEL,85437,85437
14,DOE - Lead Paint,DOEL,671,671
14,DOE - Lead Paint,DOEL,512,512
14,SCA CIP RESOA,0,9024,9024
14,SCA CIP RESOA,15025,30642,30642
14,SCA CIP RESOA,220370,167064,123027
14,SCA CIP RESOA,53874,59986,58019
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,15000,15000,0
14,SCA CIP RESOA,220000,220000,0
14,SCA CIP RESOA,15000,15000,0
14,SCA IEH,IEH,1948,448
14,SCA IEH,IEH,98252,4546
14,DOE- RESOA,150000,150000,0
14,DOE - Skilled Trades,DOES,75622,0
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,12000,12000,0
14,SCA CIP RESOA,176000,176000,0
14,SCA CIP RESOA,12000,12000,0
14,SCA IEH,IEH,143350,84423
14,SCA Furniture & Equi,170000,170000,0
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,15000,15000,0
14,SCA CIP RESOA,220000,220000,0
14,SCA CIP RESOA,15000,15000,0
14,SCA CIP RESOA,0,15912,2671
14,SCA CIP RESOA,24000,50857,11534
14,SCA CIP RESOA,352000,352000,6720
14,SCA CIP RESOA,24000,24000,2774
14,SCA IEH,IEH,355383,17539
14,SCA IEH,IEH,10442,142
14,SCA IEH,IEH,24366,2352
14,SCA IEH,IEH,88153,1186
14,DIIT - RESOA,200000,198500,198500
14,DOE - Skilled Trades,DOES,146142,146142
14,DOE - Skilled Trades,DOES,11900,11900
14,SCA Furniture & Equi,250000,250000,250000
14,DOE- RESOA,150000,137350,137350
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,15000,15000,0
14,SCA CIP RESOA,220000,220000,0
14,SCA CIP RESOA,15000,15000,0
14,SCA Furniture & Equi,104000,104000,103795
14,DOE- RESOA,150000,147988,0
14,DOE- RESOA,50000,50000,0
14,SCA CIP,343830,343830,0
14,SCA CIP,1375320,1375320,0
14,SCA CIP,25787262,25787262,0
14,SCA CIP,1604541,1604541,0
14,SCA CIP RESOA,0,646,646
14,SCA CIP RESOA,15000,2586,2586
14,SCA CIP RESOA,220000,242458,3557
14,SCA CIP RESOA,15000,16531,1427
14,SCA Furniture & Equi,104000,104000,104000
14,DOE- RESOA,50000,50000,0
14,DOE - Skilled Trades,DOES,285852,285852
14,SCA CIP RESOA,0,0,0
14,SCA CIP RESOA,90000,90000,0
14,SCA CIP RESOA,1320000,1320000,0
14,SCA CIP RESOA,90000,90000,0
14,SCA IEH,IEH,63312,3042
14,SCA CIP,178559,161320,154975
14,SCA CIP,708563,480153,453075
14,SCA CIP,12776799,11975308,11651907
14,SCA CIP,906961,696862,690905
14,SCA IEH,IEH,61273,872
14,SCA IEH,IEH,84262,9286
14,DIIT - RESOA,35000,34732,34732
14,DIIT - RESOA,70000,69197,69197
14,DOE- RESOA,164460,164460,164460
14,SCA CIP,96673,244570,54295
14,SCA CIP,386691,303332,35316
14,SCA CIP,7250461,7250461,9134
14,SCA CIP,455220,455220,74608
14,SCA CIP,83126,77996,41611
14,SCA CIP,319214,229218,174853
14,SCA CIP,4792394,4333351,652686
14,SCA CIP,560703,104136,104128
15,SCA CIP RESOA,0,81,81
15,SCA CIP RESOA,24000,23919,323
15,SCA CIP RESOA,352000,352000,0
15,SCA CIP RESOA,68494,44494,0
15,SCA IEH,IEH,0,0
15,DIIT - RESOA,200000,198496,198496
15,DOE- RESOA,250000,250000,0
15,DOE - Skilled Trades,DOES,110820,110820
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,30000,30000,0
15,SCA CIP RESOA,440000,440000,0
15,SCA CIP RESOA,30000,30000,0
8,SCA CIP,85794,55810,54215
8,SCA CIP,1608638,1608638,55233
8,SCA CIP,100093,100093,14859
8,SCA CIP,9656,6736,6736
8,SCA CIP,35406,27038,27038
8,SCA CIP,374980,329645,14419
8,SCA CIP,291544,237187,35592
8,SCA CIP,23988,42555,16050
8,SCA CIP,95951,95951,52069
8,SCA CIP,1799090,1799090,12321
8,SCA CIP,111943,111943,19060
8,SCA CIP RESOA,0,0,0
8,SCA CIP RESOA,30000,30000,0
8,SCA CIP RESOA,440000,440000,0
8,SCA CIP RESOA,30000,30000,0
8,SCA CIP RESOA,0,0,0
8,SCA CIP RESOA,60000,60000,0
8,SCA CIP RESOA,880000,880000,0
8,SCA CIP RESOA,60000,60000,0
8,SCA IEH,IEH,124145,7348
8,DIIT - Project Conne,DIIT,3308,0
8,DOE - Skilled Trades,DOES,226735,226735
8,SCA CIP RESOA,0,30822,30822
8,SCA CIP RESOA,2100,2721,2721
8,SCA CIP RESOA,30800,30800,0
8,SCA CIP RESOA,2100,2100,0
8,SCA CIP,5812,7002,7002
8,SCA CIP,21311,28070,28070
8,SCA CIP,225706,225706,6715
8,SCA CIP,52310,52310,6028
8,SCA CIP RESOA,0,42754,37401
8,SCA CIP RESOA,60000,75952,2347
8,SCA CIP RESOA,880000,1741015,7246
8,SCA CIP RESOA,60000,118706,9536
8,DIIT - Project Conne,DIIT,24249,0
8,DIIT - Project Conne,DIIT,10664,0
8,SCA Furniture & Equi,50000,50000,48488
8,SCA Furniture & Equi,45000,45000,43597
8,SCA Furniture & Equi,35000,35000,34585
8,SCA Furniture & Equi,35000,35000,34696
9,SCA CIP,86205,70939,66813
9,SCA CIP,344820,219565,219565
9,SCA CIP,6465375,5941197,18564
9,SCA CIP,402291,32076,32076
9,SCA CIP RESOA,0,12544,1616
9,SCA CIP RESOA,30000,17456,6465
9,SCA CIP RESOA,440000,440000,3231
9,SCA CIP RESOA,30000,30000,8386
9,SCA IEH,IEH,31780,2210
9,SCA IEH,IEH,12649,1006
9,SCA IEH,IEH,16694,2930
9,SCA IEH,IEH,1170,670
9,DOE - Skilled Trades,DOES,87183,87183
9,SCA CIP,37500,57068,54846
9,SCA CIP,150000,134783,134711
9,SCA CIP,2812500,2536909,10979
9,SCA CIP,175000,15296,15296
9,DOE - Skilled Trades,DOES,170000,1948
9,SCA CIP,7089,2796,2796
9,SCA CIP,25993,25993,11184
9,SCA CIP,275287,275287,5906
9,SCA CIP,112620,112620,4031
9,SCA CIP RESOA,0,0,0
9,SCA CIP RESOA,60000,60000,0
9,SCA CIP RESOA,880000,880000,0
9,SCA CIP RESOA,60000,60000,0
9,SCA CIP RESOA,PNB,0,0
9,SCA CIP RESOA,PNB,0,0
9,SCA CIP RESOA,PNB,0,0
9,SCA CIP RESOA,PNB,0,0
9,SCA IEH,IEH,98855,6357
9,SCA IEH,IEH,1698,1198
9,DOE - Lead Paint,DOEL,783,783
9,SCA CIP,77838,77838,0
9,SCA CIP,297425,297425,0
9,SCA CIP,4326351,4326351,0
9,SCA CIP,544360,544360,0
9,SCA IEH,IEH,39983,4304
9,SCA IEH,IEH,34857,3816
9,SCA IEH,IEH,1070,570
9,SCA IEH,IEH,13580,2754
9,DOE - Lead Paint,DOEL,56296,56296
9,SCA CIP,30000,67819,6268
9,SCA CIP,120000,120000,25073
9,SCA CIP,2250000,2250000,0
9,SCA CIP,140000,140000,1103
9,SCA CIP,237322,131191,130843
9,SCA CIP,949289,414752,410195
9,SCA CIP,17799179,16186646,873721
9,SCA CIP,1107505,89398,89257
9,SCA CIP RESOA,0,85,85
9,SCA CIP RESOA,24000,23915,342
9,SCA CIP RESOA,352000,352000,0
9,SCA CIP RESOA,24000,24000,0
9,SCA IEH,IEH,103342,12010
9,SCA IEH,IEH,1170,670
9,DOE- RESOA,1000000,962064,962064
9,SCA IEH,IEH,28427,3972
9,SCA IEH,IEH,25381,2252
9,SCA IEH,IEH,32532,2556
9,SCA CIP,17438,9894,9894
9,SCA CIP,69753,41092,40087
9,SCA CIP,1307861,1307861,15996
9,SCA CIP,81378,81378,7546
9,SCA CIP RESOA,0,0,0
9,SCA CIP RESOA,50700,50700,0
9,SCA CIP RESOA,743600,743600,0
9,SCA CIP RESOA,50700,50700,0
9,SCA CIP RESOA,0,0,0
9,SCA CIP RESOA,5400,5400,0
9,SCA CIP RESOA,79200,79200,0
9,SCA CIP RESOA,5400,5400,0
9,SCA CIP RESOA,0,0,0
9,SCA CIP RESOA,5400,5400,0
9,SCA CIP RESOA,79200,79200,0
9,SCA CIP RESOA,5400,5400,0
9,SCA IEH,IEH,105132,7886
9,DIIT - RESOA,100000,99250,99250
9,DIIT - RESOA,75000,74438,74438
9,SCA CIP,111904,164803,109231
9,SCA CIP,437328,374117,261539
9,SCA CIP,7276373,8532983,5288201
9,SCA CIP,655992,348978,261981
9,SCA CIP RESOA,0,15881,13350
9,SCA CIP RESOA,48000,35237,34666
1,SCA CIP RESOA,0,1305,1305
1,SCA CIP RESOA,20100,18795,5218
1,SCA CIP RESOA,294800,294800,0
1,SCA CIP RESOA,64594,45272,778
1,DOE - Skilled Trades,DOES,41588,41588
1,DOE - Skilled Trades,DOES,385556,385556
1,Trust For Public Lan,35000,35000,0
1,Trust For Public Lan,105000,105000,0
1,Trust For Public Lan,350000,350000,0
1,Trust For Public Lan,94500,94500,0
1,Trust For Public Lan,82500,82500,0
1,Trust For Public Lan,247500,247500,0
1,Trust For Public Lan,825000,825000,0
1,Trust For Public Lan,222750,222750,0
1,DIIT - RESOA,200000,198486,198486
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,9000,9000,0
1,SCA CIP RESOA,132000,132000,0
1,SCA CIP RESOA,9000,9000,0
1,DIIT - RESOA,100000,99003,99003
1,DOE - Skilled Trades,DOES,116301,797
1,SCA CIP,60837,14706,14706
1,SCA CIP,243349,243349,54621
1,SCA CIP,4562801,4562801,603
1,SCA CIP,283908,283908,5738
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,3900,3900,0
1,SCA CIP RESOA,57200,57200,0
1,SCA CIP RESOA,3900,3900,0
1,Fast Track Projects,FTK,294696,294696
1,Fast Track Projects,FTK,5605673,5600818
1,DIIT - RESOA,100000,99245,99245
1,DIIT - Project Conne,DIIT,381215,381215
1,Trust For Public Lan,22300,22300,22300
1,Trust For Public Lan,89200,89200,89200
1,Trust For Public Lan,267600,267600,0
1,Trust For Public Lan,66900,66900,0
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,3000,3000,0
1,SCA CIP RESOA,44000,44000,0
1,SCA CIP RESOA,3000,3000,0
1,SCA CIP RESOA,0,29317,29317
1,SCA CIP RESOA,59156,124253,122862
1,SCA CIP RESOA,867618,983600,17395
1,SCA CIP RESOA,59156,67064,25511
1,DIIT - Project Conne,DIIT,147186,0
1,DOE - Lead Paint,DOEL,1112,1112
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,13500,13500,0
1,SCA CIP RESOA,198000,198000,0
1,SCA CIP RESOA,13500,13500,0
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,27000,27000,0
1,SCA CIP RESOA,396000,396000,0
1,SCA CIP RESOA,27000,27000,0
1,SCA IEH,IEH,33781,2984
1,DOE - Skilled Trades,DOES,170000,2325
1,SCA CIP,127500,198340,192359
1,SCA CIP,494130,456673,433198
1,SCA CIP,7840605,8665819,7894088
1,SCA CIP,801312,1107603,1099619
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,3000,3000,0
1,SCA CIP RESOA,44000,44000,0
1,SCA CIP RESOA,3000,3000,0
1,SCA IEH,IEH,31964,3886
1,SCA IEH,IEH,31349,1338
1,SCA IEH,IEH,18147,2998
1,SCA IEH,IEH,25128,2234
1,DIIT - PBX Telephone,DIIX,244033,244033
1,DOE - Skilled Trades,DOES,124668,124668
1,SCA CIP,18079,18079,505
1,SCA CIP,66289,66289,2021
1,SCA CIP,702057,702057,0
1,SCA CIP,162708,162708,0
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,12000,12000,0
1,SCA CIP RESOA,176000,176000,0
1,SCA CIP RESOA,12000,12000,0
1,DOE- RESOA,100000,100000,0
1,DIIT - RESOA,100000,99807,99807
1,DIIT - RESOA,100000,99245,99245
1,SCA CIP,40320,15849,15849
1,SCA CIP,161280,67319,67203
1,SCA CIP,3024000,2833234,2345949
1,SCA CIP,188160,244258,240819
1,SCA IEH,IEH,40043,2026
1,SCA IEH,IEH,109290,2204
1,SCA IEH,IEH,18222,354
1,DOE - Lead Paint,DOEL,800,0
1,SCA CIP RESOA,0,0,0
1,SCA CIP RESOA,4500,4500,0
1,SCA CIP RESOA,66000,66000,0
1,SCA CIP RESOA,4500,4500,0
1,DOE- RESOA,100000,44038,44038
1,SCA CIP,4372,6985,6985
1,SCA CIP,16032,28734,25439
1,SCA CIP,169795,153872,2625
1,SCA CIP,39352,16401,7285
1,SCA CIP,225000,225000,41749
1,SCA CIP,900000,900000,52096
1,SCA CIP,16875000,16875000,0
1,SCA CIP,1050000,1050000,3915
1,DOE- RESOA,120000,120000,76528
1,DOE - Skilled Trades,DOES,149621,149621
2,DIIT - RESOA,117000,33196,33196
